Docente;Código;Nome;Carga Horária Semestral
Gabriel Toledo;MEC51402;Disciplina 128;45
Gabriel Toledo;MUS51302;Disciplina 126;60
Gabriel Toledo;PGPS51502;Disciplina 130;75
George Clooney;BCN51002;Disciplina 120;60
George Clooney;CNC51102;Disciplina 122;45
George Clooney;PGBT51202;Disciplina 124;75
Joseph Joestar;EPR50101;Disciplina 101;45
Joseph Joestar;PGAQ50301;Disciplina 105;60
Joseph Joestar;PPR50201;Disciplina 103;75
Jotaro Kujo;GEM50402;Disciplina 108;60
Jotaro Kujo;PGAT50602;Disciplina 112;75
Jotaro Kujo;PGPV50502;Disciplina 110;45
Mark Zuckerberg;BCN51001;Disciplina 119;45
Mark Zuckerberg;CNC51101;Disciplina 121;75
Mark Zuckerberg;PGBT51201;Disciplina 123;60
Oprah Winfrey;MEC51401;Disciplina 127;75
Oprah Winfrey;MUS51301;Disciplina 125;45
Oprah Winfrey;PGPS51501;Disciplina 129;60
Paul Walker;EPR50102;Disciplina 102;60
Paul Walker;PGAQ50302;Disciplina 106;75
Paul Walker;PPR50202;Disciplina 104;45
Stephen Curry;DES50802;Disciplina 116;45
Stephen Curry;PGGM50902;Disciplina 118;75
Stephen Curry;TMI50702;Disciplina 114;60
Steven Spielberg;GEM50401;Disciplina 107;45
Steven Spielberg;PGAT50601;Disciplina 111;60
Steven Spielberg;PGPV50501;Disciplina 109;75
Terry Crews;DES50801;Disciplina 115;75
Terry Crews;PGGM50901;Disciplina 117;60
Terry Crews;TMI50701;Disciplina 113;45
