Departamento;Docente;Cód. Curso;Curso;Horas Semestrais Aula
Departamento dos Deuses;Dráuzio Varela;8;Artesanatologia;162
Departamento dos Deuses;Dráuzio Varela;9;Serviço social;100
Departamento dos Deuses;Dráuzio Varela;1;Sistemas Embarcados;140
Departamento dos Deuses;Dráuzio Varela;12;Taxinomia;107
Departamento dos dibres;Ronaldinho;2;Artes;100
Departamento dos dibres;Ronaldinho;8;Artesanatologia;100
Departamento dos dibres;Ronaldinho;7;Artes cênicas;200
Departamento dos dibres;Ronaldinho;6;Engenharia do petroleo;100
Departamento dos dibres;Ronaldinho;5;Engenharia do petróleo;220
Departamento dos dibres;Ronaldinho;3;Propraganda;100
Departamento dos dibres;Ronaldinho;1;Sistemas Embarcados;100
Departamento dos Highlights Gameplays;Yoda;8;Artesanatologia;520
Departamento dos Highlights Gameplays;Yoda;13;Biotecnologia;107
Departamento dos Highlights Gameplays;Yoda;14;Pasteleirologia;99
Departamento dos Highlights Gameplays;Yoda;15;Pedreirologia;100
Departamento dos Highlights Gameplays;Yoda;3;Propraganda;87
Departamento dos Highlights Gameplays;Yoda;12;Taxinomia;99
Departamento dos Magos;Mestre dos magos;2;Artes;61
Departamento dos Magos;Mestre dos magos;7;Artes cênicas;109
Departamento dos Magos;Mestre dos magos;13;Biotecnologia;60
Departamento dos Magos;Mestre dos magos;10;Publicidade;567
Departamento dos TOP;Luiz Felipe Boina;11;Biomedicina;180
Departamento dos TOP;Luiz Felipe Boina;14;Pasteleirologia;80
Departamento dos TOP;Luiz Felipe Boina;15;Pedreirologia;78
Departamento dos TOP;Luiz Felipe Boina;10;Publicidade;60
